频道名,地址,logo,tvg频道名,tvg国家,tcg语言,tvg分组,tvg-id,resolution
[SD]chile channel (720p),https://t.freetv.fun/live/chile-channel-720p.m3u8,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,CHANNEL [V],台灣,台灣,音樂,,
[BD]nascar channel,https://t.freetv.fun/live/nascar-channel.m3u8,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,CHANNEL [V],台灣,台灣,音樂,,
[BD]motogp channel,https://t.freetv.fun/live/motogp-channel.m3u8,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,CHANNEL [V],台灣,台灣,音樂,,
[BD]the lego channel,https://t.freetv.fun/live/the-lego-channel.m3u8,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,CHANNEL [V],台灣,台灣,音樂,,
[BD]nascar channel,https://t.freetv.fun/live/nascar-channel-1.m3u8,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,CHANNEL [V],台灣,台灣,音樂,,
[BD]motogp channel,https://t.freetv.fun/live/motogp-channel-1.m3u8,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,CHANNEL [V],台灣,台灣,音樂,,
[HD]4music,https://t.freetv.fun/live/4music.m3u8,https://epg.pw/media/images/channel/2022/03/18/large/20220318090457244729_96.png,CMusic,台灣,台灣,綜藝,,
[BD]dazn ringside,https://t.freetv.fun/live/dazn-ringside.m3u8,https://epg.pw/media/images/channel/2024/04/24/large/20240424024936868909_61.png,DAZN 1(TW),台灣,台灣,運動,456576,
[BD]dazn 1 de,https://t.freetv.fun/live/dazn-1-de.m3u8,https://epg.pw/media/images/channel/2024/04/24/large/20240424024936868909_61.png,DAZN 1(TW),台灣,台灣,運動,456576,
[HD]dazn1,rtmp://f13h.mine.nu/sat/tv731,https://epg.pw/media/images/channel/2024/04/24/large/20240424024936868909_61.png,DAZN 1(TW),台灣,台灣,運動,456576,
[BD]dazn 1 pt,https://t.freetv.fun/live/dazn-1-pt.m3u8,https://epg.pw/media/images/channel/2024/04/24/large/20240424024936868909_61.png,DAZN 1(TW),台灣,台灣,運動,456576,
[HD]dazn 4 50fps,https://t.freetv.fun/live/dazn-4-50fps.m3u8,https://epg.pw/media/images/channel/2024/04/24/large/20240424025006167243_40.png,DAZN 2(TW),台灣,台灣,運動,457257,
[BD]dazn 3 50fps,https://t.freetv.fun/live/dazn-3-50fps.m3u8,https://epg.pw/media/images/channel/2024/04/24/large/20240424025006167243_40.png,DAZN 2(TW),台灣,台灣,運動,457257,
[HD]dazn ppv,https://t.freetv.fun/live/dazn-ppv.m3u8,https://epg.pw/media/images/channel/2024/04/24/large/20240424025006167243_40.png,DAZN 2(TW),台灣,台灣,運動,457257,
[BD]dazn 5 pt,https://t.freetv.fun/live/dazn-5-pt.m3u8,https://epg.pw/media/images/channel/2024/04/24/large/20240424025006167243_40.png,DAZN 2(TW),台灣,台灣,運動,457257,
[BD]dazn 2 de,https://t.freetv.fun/live/dazn-2-de.m3u8,https://epg.pw/media/images/channel/2024/04/24/large/20240424025006167243_40.png,DAZN 2(TW),台灣,台灣,運動,457257,
