频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
[VGA]cromtv,https://t.freetv.fun/live/cromtv.m3u8,,CROTV HD,Germany,Germany,https://epg.pw/media/images/channel/2022/03/18/large/20220318090402700319_25.png,News,854x480,freetv-fun-all.txt,18,403,成功,h264,854x480,29.97002997002997,有音频,1.843
[BD]rai italia,https://t.freetv.fun/live/rai-italia.m3u8,,Rai Italia,Italy,Italy,https://epg.pw/media/images/channel/2019/01/16/large/20190116223706790494_26.PNG,Generic,1920x1080,freetv-fun-all.txt,17,403,成功,h264,1920x1080,25.0,有音频,6.731
[BD]rt français,https://t.freetv.fun/live/rt-francais-1.m3u8,,CGTN Français,China,China,https://epg.pw/media/images/channel/2022/05/20/large/20220520002319040251_53.jpg,Generic,1920x1080,freetv-fun-all.txt,20,403,成功,h264,1920x1080,25.0,有音频,3.392
[BD]chc家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan-4.m3u8,,CHC家庭影院,China,China,https://epg.pw/media/images/channel/2023/07/20/large/20230720204118595367_23.png,Movies,1920x1080,freetv-fun-all.txt,12,403,成功,h264,1920x1080,28.0,有音频,1.073
[BD]dubai sports,https://t.freetv.fun/live/dubai-sports.m3u8,,Dubai Sports UAE,United Arab Emirates,United Arab Emirates,https://epg.pw/media/images/channel/2024/03/13/large/20240313161442698741_15.png,Sports,1920x1080,freetv-fun-all.txt,19,403,成功,h264,1920x1080,25.0,有音频,5.635
[HD]qvc japan,https://t.freetv.fun/live/qvc-japan.m3u8,,QVC Japan,Japan,Japan,https://epg.pw/media/images/channel/2021/12/12/large/20211212021009758839_20.png,Other,1280x720,freetv-fun-all.txt,21,403,成功,h264,1280x720,30.0,有音频,2.087
[SD]hbo east *s,https://t.freetv.fun/live/hbo-east-s.m3u8,,HBO East,United States,United States,https://epg.pw/media/images/channel/2022/05/27/large/20220527020554404518_29.png,Movies,960x540,freetv-fun-all.txt,291,403,成功,h264,960x540,29.97002997002997,有音频,1.787
[BD]jordan tv,https://t.freetv.fun/live/jordan-tv.m3u8,,Jordan TV,Jordan,Jordan,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613183400860882_29.png,Generic,640x360,freetv-fun-all.txt,20,403,成功,h264,640x360,25.0,有音频,11.612
[BD]myzen fit,https://t.freetv.fun/live/myzen-fit.m3u8,,MyZen TV,France,France,https://epg.pw/media/uploads/tmp_logo/2015/04/03/20150403222251317649_98.jpg,Entertainment,1920x1080,freetv-fun-all.txt,17,403,成功,h264,1920x1080,25.0,有音频,6.835
[BD]history hunters,https://t.freetv.fun/live/history-hunters.m3u8,,History(USA),United States,United States,https://epg.pw/media/images/channel/2022/05/23/large/20220523014634644875_63.jpg,Knowledge,1920x1080,freetv-fun-all.txt,18,403,成功,h264,1920x1080,25.0,有音频,5.860
[HD]hallmark movies more *s,https://t.freetv.fun/live/hallmark-movies-more-s.m3u8,,Hallmark Movies,United States,United States,https://epg.pw/media/images/channel/2023/10/10/large/20231010183832198739_23.png,Movies,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,29.97002997002997,有音频,2.537
[BD]gong,https://t.freetv.fun/live/gong.m3u8,,GONG TV,France,France,https://epg.pw/media/uploads/tmp_logo/2015/11/30/20151130205759744461_91.jpg,Entertainment,1920x1080,freetv-fun-all.txt,22,403,成功,h264,1920x1080,25.0,有音频,1.436
[HD]etv,https://t.freetv.fun/live/etv-2.m3u8,,ETV,Mongolia,Mongolia,https://epg.pw/media/images/channel/2022/05/06/large/20220506164603528342_17.png,News,1280x720,freetv-fun-all.txt,19,403,成功,h264,1280x720,25.0,有音频,8.209
[VGA]imam hussein tv 4,https://t.freetv.fun/live/imam-hussein-tv-4.m3u8,,IMAM HUSSEIN 2 TV,Iran,Iran,https://epg.pw/media/,Other,,freetv-fun-all.txt,22,403,成功,h264,,,有音频,7.282
[BD]fuel tv,https://t.freetv.fun/live/fuel-tv-1.m3u8,,Fuel TV Portugal,Portugal,Portugal,https://epg.pw/media/images/channel/2022/05/06/large/20220506174301992195_20.png,Sports,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,25.0,有音频,7.482
[BD]q-music,https://t.freetv.fun/live/q-music.m3u8,,PANDERO MUSIC TOP 50 SANTIAGO CHILE LATAM,Chile,Chile,https://epg.pw/media/uploads/tmp_logo/2016/09/29/20160929025736599943_81.png,Entertainment,412x232,freetv-fun-all.txt,22,403,成功,h264,412x232,25.0,有音频,13.200
[BD]national geographic wild,https://t.freetv.fun/live/national-geographic-wild-1.m3u8,6303,National Geographic,Romania,Romania,https://epg.pw/media/images/channel/2022/05/06/large/20220506163824809340_39.png,Knowledge,640x360,freetv-fun-all.txt,20,403,成功,h264,640x360,59.94005994005994,有音频,4.425
[HD]fanduel racing,https://t.freetv.fun/live/fanduel-racing.m3u8,,Racing UK,United Kingdom,United Kingdom,https://epg.pw/media/uploads/tmp_logo/2015/02/11/20150211202256317139_27.jpg,Sports,1280x720,freetv-fun-all.txt,19,403,成功,h264,1280x720,59.94005994005994,有音频,0.948
[SD]lego kids tv,https://t.freetv.fun/live/lego-kids-tv.m3u8,,KIDS-TV,Korea,Korea,https://epg.pw/media/uploads/tmp_logo/2017/11/05/20171105153412849440_29.jpg,Kids,426x240,freetv-fun-all.txt,13,403,成功,h264,426x240,30.0,有音频,2.072
[BD]formula,https://t.freetv.fun/live/formula-1.m3u8,,Formula TV,Georgia,Georgia,https://epg.pw/media/images/channel/2020/04/23/large/20200423204734305666_79.png,Generic,1920x1080,freetv-fun-all.txt,20,403,成功,h264,1920x1080,24.0,有音频,14.047
[BD]history tv18,https://t.freetv.fun/live/history-tv18-1.m3u8,,History(USA),United States,United States,https://epg.pw/media/images/channel/2022/05/23/large/20220523014634644875_63.jpg,Knowledge,1920x1080,freetv-fun-all.txt,23,403,成功,h264,1920x1080,25.0,有音频,14.247
[BD]diyanet tv,https://t.freetv.fun/live/diyanet-tv-1.m3u8,,Inet TV,Korea,Korea,https://epg.pw/media/images/channel/2022/12/24/large/20221224163613116034_96.jpeg,Entertainment,640x360,freetv-fun-all.txt,23,403,成功,h264,640x360,25.0,有音频,9.959
[HD]ช่อง cnn indonesia,https://t.freetv.fun/live/ch-ng-cnn-indonesia.m3u8,,CNN Indonesia,Indonesia,Indonesia,https://epg.pw/media/images/channel/2022/05/06/large/20220506173712756710_20.png,News,1280x720,freetv-fun-all.txt,22,403,成功,h264,1280x720,25.0,有音频,3.974
[BD]mbc 1,https://t.freetv.fun/live/mbc-1.m3u8,,MBC,Egypt,Egypt,https://epg.pw/media/img/logo/MBC.png,Generic,1920x1080,freetv-fun-all.txt,17,403,成功,h264,1920x1080,25.0,有音频,8.519
[BD]dw espanol,https://t.freetv.fun/live/dw-espanol.m3u8,,DW Español,Germany,Germany,https://epg.pw/media/images/channel/2024/02/05/large/20240205014247799215_14.png,News,1920x1080,freetv-fun-all.txt,16,403,成功,h264,1920x1080,50.0,有音频,10.564
