频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件
山西卫视,http://150.138.8.143/00/SNM/CHANNEL00000032/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221226015/10000100000000060000000002706922_0.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,山西卫视,山西卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山西/山西卫视3.png,⭐ 卫视频道,720x576,2sddxdb.m3u
吉林卫视,http://150.138.8.143/00/SNM/CHANNEL00000363/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221227161/411800545.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,吉林卫视,吉林卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/吉林/吉林卫视3.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
吉林卫视,http://150.138.8.143/00/SNM/CHANNEL00000036/index.m3u8,,none,0,吉林卫视,吉林卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/吉林/吉林卫视3.png,⭐ 卫视频道,720x576,2sddxdb.m3u
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000367/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221227210/438782321.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,云南卫视,云南卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/云南/云南卫视3.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000039/index.m3u8,,none,0,云南卫视,云南卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/云南/云南卫视3.png,⭐ 卫视频道,720x576,2sddxdb.m3u
陕西卫视,http://150.138.8.143/00/SNM/CHANNEL00000397/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221227367/539887012.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,陕西卫视,陕西卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/陕西/陕西卫视3.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
陕西卫视,http://150.138.8.143/00/SNM/CHANNEL00000029/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221226018/10000100000000060000000002706915_0.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,陕西卫视,陕西卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/陕西/陕西卫视3.png,⭐ 卫视频道,720x576,2sddxdb.m3u
内蒙古卫视,http://150.138.8.143/00/SNM/CHANNEL00000398/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221227371/539887016.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,内蒙古卫视,内蒙古卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/内蒙古/内蒙古卫视2.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
内蒙古卫视,http://150.138.8.143/00/SNM/CHANNEL00000040/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221226034/10000100000000060000000002706931_0.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,内蒙古卫视,内蒙古卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/内蒙古/内蒙古卫视2.png,⭐ 卫视频道,720x576,2sddxdb.m3u
宁夏卫视,http://150.138.8.143/00/SNM/CHANNEL00000395/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221227450/527989427.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,宁夏卫视,宁夏卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/宁夏/宁夏卫视2.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
宁夏卫视,http://150.138.8.143/00/SNM/CHANNEL00000043/index.m3u8,,none,0,宁夏卫视,宁夏卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/宁夏/宁夏卫视2.png,⭐ 卫视频道,720x576,2sddxdb.m3u
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000393/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221227461/527989403.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,新疆卫视,新疆卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/新疆/新疆卫视2.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8,,none,0,新疆卫视,新疆卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/新疆/新疆卫视2.png,⭐ 卫视频道,720x576,2sddxdb.m3u
