频道名,地址,跳过原因
æ±Ÿè‹å«è§†,http://192.168.50.1:20231/rtp/239.21.1.89:5002?fcc=150.138.8.132:8027,重复URL
ä¸œæ–¹å«è§†,http://192.168.50.1:20231/rtp/239.21.1.111:5002?fcc=150.138.8.132:8027,重复URL
åŒ—äº¬å«è§†,http://192.168.50.1:20231/rtp/239.21.1.88:5002?fcc=150.138.8.132:8027,重复URL
å®‰å¾½å«è§†,http://192.168.50.1:20231/rtp/239.21.1.159:5002?fcc=150.138.8.132:8027,重复URL
å±±ä¸œå«è§†,http://192.168.50.1:20231/rtp/239.21.1.87:5002?fcc=150.138.8.132:8027,重复URL
å¤©æ´¥å«è§†,http://192.168.50.1:20231/rtp/239.21.1.165:5002?fcc=150.138.8.132:8027,重复URL
è¾½å®å«è§†,http://192.168.50.1:20231/rtp/239.21.1.164:5002?fcc=150.138.8.132:8027,重复URL
æ·±åœ³å«è§†,http://192.168.50.1:20231/rtp/239.21.1.93:5002?fcc=150.138.8.132:8027,重复URL
æ¹–åŒ—å«è§†,http://192.168.50.1:20231/rtp/239.21.1.163:5002?fcc=150.138.8.132:8027,重复URL
å¹¿ä¸œå«è§†,http://192.168.50.1:20231/rtp/239.21.1.92:5002?fcc=150.138.8.132:8027,重复URL
ä¸œå—å«è§†,http://192.168.50.1:20231/rtp/239.21.1.113:5002?fcc=150.138.8.132:8027,重复URL
é»‘é¾™æ±Ÿå«è§†,http://192.168.50.1:20231/rtp/239.21.1.91:5002?fcc=150.138.8.132:8027,重复URL
